date,fused_signal,signal_clipped,price,forward_return,realized_vol,confidence,llm_signal,llm_confidence,llm_tone,llm_summary,llm_action,deterministic_signal,deterministic_regime,deterministic_confidence,comp_momentum,comp_trend,comp_volume,comp_risk,comp_rs,position,position_prev,turnover,tc_cost,strategy_return,buy_hold_return
2020-01-03,0.5110625000000001,0.5110625000000001,29.534,0.07932100855624036,0.4912667461634431,0.7999999999999999,0.65,0.7,bullish,"Strong momentum and trend alignment with price above key moving averages and MACD bullish, supported by volume confirmation through rising OBV and accumulation-distribution trends. However, high volatility regime and overbought RSI temper conviction for the 1-week horizon.",long,0.5179691116675426,uptrend_high_vol,0.7687891890836398,"{'score': np.float64(0.6419464463681177), 'components': {'momentum_returns': np.float64(0.9774796852826688), 'macd_signal': np.float64(0.03292325467191515), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=47.5)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.3, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.37301732090456086), 'components': {'sharpe': np.float64(0.5558971350965369), 'sortino': np.float64(0.4562409018779987), 'max_drawdown': 0.0, 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Unfavorable risk profile'}","{'score': np.float64(0.8095681482001739), 'components': {'relative_performance': np.float64(0.825714363230306), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(-0.01614621503013216)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.5110625000000001,,,,,0.07932100855624036
2020-01-10,0.3538125,0.3538125,31.8766666667,0.06765659311715178,0.5033510675315087,0.75,0.45,0.65,bullish,"Strong momentum and trend signals support continuation over the 1-week horizon, with price above both MA50 and MA200 in an uptrend. Volume confirmation via OBV and Accumulation-Distribution trends aligns with bullish momentum, though high volatility and overbought RSI temper conviction.",long,0.5321540340214557,uptrend_high_vol,0.7737539119075094,"{'score': np.float64(0.6592404898202846), 'components': {'momentum_returns': np.float64(0.9843706613882308), 'macd_signal': np.float64(0.07199779958967234), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=51.7)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 1.0, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.381396019161088), 'components': {'sharpe': np.float64(0.5734061300610761), 'sortino': np.float64(0.471870900713826), 'max_drawdown': 0.0, 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Unfavorable risk profile'}","{'score': np.float64(0.8634309082166045), 'components': {'relative_performance': np.float64(0.8526658627386166), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.010765045477987956)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.3538125,0.5110625000000001,0.1572500000000001,7.862500000000005e-05,0.02385912335226226,0.06765659311715178
2020-01-17,0.3538125,0.3538125,34.0333333333,0.1064054848208682,0.541858610608305,0.75,0.45,0.65,bullish,"Strong momentum and trend alignment with volume confirmation support continued upside over the 1-week horizon, though high volatility and overbought RSI temper conviction.",long,0.544037807283857,uptrend_high_vol,0.7779132325493499,"{'score': np.float64(0.6617575059753743), 'components': {'momentum_returns': np.float64(0.9967721427542262), 'macd_signal': np.float64(0.06927806592563668), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=56.6)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.7, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.39451772555269304), 'components': {'sharpe': np.float64(0.598140415807139), 'sortino': np.float64(0.5003780040527566), 'max_drawdown': 0.0, 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Unfavorable risk profile'}","{'score': np.float64(0.9086250682691682), 'components': {'relative_performance': np.float64(0.8767525755360819), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.031872492733086365)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.3538125,0.3538125,0.0,0.0,0.03764759059818343,0.1064054848208682
2020-01-24,0.43243750000000003,0.43243750000000003,37.6546666667,0.15181827838767048,0.5535741437231563,0.75,0.55,0.65,bullish,"Strong bullish momentum with 1-month return of 41% and 3-month return of 124%, supported by uptrend confirmation from price above both MA50 and MA200, MACD histogram positive, and ADX at 57 indicating strong trend strength. Volume confirmation is present with OBV and Accumulation-Distribution trending up, though high volatility regime reduces confidence.",long,0.6167687880122867,uptrend_high_vol,0.8033690758043004,"{'score': np.float64(0.6652693632356487), 'components': {'momentum_returns': np.float64(0.9999999999999999), 'macd_signal': np.float64(0.07634681617824368), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=57.1)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.7, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.5427303434314712), 'components': {'sharpe': np.float64(0.8104482579047619), 'sortino': np.float64(0.7320012975305363), 'max_drawdown': np.float64(0.15278242621574134), 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Moderate risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.2, 'capture_ratio_score': np.float64(0.1310295706114902)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.43243750000000003,0.3538125,0.07862500000000006,3.931250000000003e-05,0.06561260426026826,0.15181827838767048
2020-01-31,0.43243750000000003,0.43243750000000003,43.3713333333,0.14986857678662546,0.44123517864503164,0.75,0.55,0.65,bullish,"Strong momentum and trend alignment with volume confirmation support continuation, though high volatility and overbought RSI temper conviction for the 1-week horizon.",long,0.6213925911223795,uptrend_high_vol,0.8049874068928329,"{'score': np.float64(0.663604278034375), 'components': {'momentum_returns': np.float64(0.9999999999999999), 'macd_signal': np.float64(0.06802139017187558), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=57.2)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.7, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.5552675404194309), 'components': {'sharpe': np.float64(0.8305119381158104), 'sortino': np.float64(0.7645917621537619), 'max_drawdown': np.float64(0.15278242621574178), 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Moderate risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.15)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.43243750000000003,0.43243750000000003,0.0,0.0,0.06480879267416635,0.14986857678662546
2020-02-07,0.3538125,0.3538125,49.8713333333,0.06945874049224643,0.7305146723681609,0.75,0.45,0.65,bullish,"Strong momentum and trend alignment with positive volume confirmation support a bullish outlook for the 1-week horizon. However, the high volatility regime and RSI approaching overbought levels warrant caution and reduce conviction.",long,0.630695923287517,uptrend_high_vol,0.7832435731506309,"{'score': np.float64(0.6984915771361584), 'components': {'momentum_returns': np.float64(0.9999999999999999), 'macd_signal': np.float64(0.24245788568079218), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=59.1)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.7, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.5581443811826625), 'components': {'sharpe': np.float64(0.8367886500727314), 'sortino': np.float64(0.747156812795907), 'max_drawdown': np.float64(0.17070569440664696), 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Moderate risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.15)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.3538125,0.43243750000000003,0.07862500000000006,3.931250000000003e-05,0.02453605812041294,0.06945874049224643
2020-02-14,0.3538125,0.3538125,53.3353333333,0.12620776721005855,0.7345222596233977,0.75,0.45,0.65,bullish,"Strong momentum and trend alignment with price above key moving averages and MACD histogram positive, supported by volume confirmation from OBV and accumulation-distribution trends. However, high volatility regime and overbought RSI temper conviction for the 1-week horizon.",long,0.6338398745396854,uptrend_high_vol,0.7843439560888898,"{'score': np.float64(0.6639325274253693), 'components': {'momentum_returns': np.float64(0.9999999999999999), 'macd_signal': np.float64(0.06966263712684695), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=54.6)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.7, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.5862260474299055), 'components': {'sharpe': np.float64(0.89458183713247), 'sortino': np.float64(0.800875363442513), 'max_drawdown': np.float64(0.17070569440664762), 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Moderate risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.15)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.3538125,0.3538125,0.0,0.0,0.04465388563600884,0.12620776721005855
2020-02-21,0.3538125,0.3538125,60.0666666667,-0.25861265260806954,0.7534454730679616,0.75,0.45,0.65,bullish,"Strong momentum and trend signals support continuation over the 1-week horizon, with 1-month and 3-month returns showing significant strength and price above both MA50 and MA200. Volume confirmation via OBV and Accumulation-Distribution trending up provides conviction, though high volatility regime and overbought RSI temper confidence.",long,0.6504173399046466,uptrend_high_vol,0.7901460689666262,"{'score': np.float64(0.6744928899244349), 'components': {'momentum_returns': np.float64(0.9999999999999999), 'macd_signal': np.float64(0.12246444962217495), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=52.3)'}","{'score': 1.0, 'components': {'obv': 1.0, 'accumulation_distribution': 1.0, 'volume_spike': 0.3, 'confirmation_bonus': 0.2}, 'interpretation': 'Strong volume confirmation'}","{'score': np.float64(0.6212851474384826), 'components': {'sharpe': np.float64(0.9630317684502256), 'sortino': np.float64(0.8734959665087675), 'max_drawdown': np.float64(0.17070569440664585), 'volatility': 0.1, 'beta': 1.0}, 'interpretation': 'Good risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.15)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.3538125,0.3538125,0.0,0.0,-0.09150038915089259,-0.25861265260806954
2020-02-28,-0.22015,-0.22015,44.5326666667,0.053129537867293575,0.819190960210807,0.315,-0.35,0.45,bearish,"The stock shows strong short-term momentum but is in a high volatility regime with bearish trend signals. MACD bear cross, negative histogram, and recent gap down suggest near-term weakness, though volume accumulation provides some support.",short,0.49919034169919346,uptrend_high_vol,0.6692166195947178,"{'score': np.float64(0.591891940988405), 'components': {'momentum_returns': np.float64(0.9999999999999999), 'macd_signal': np.float64(-0.2905402950579745), 'rsi_moderation': 0.0}, 'interpretation': 'Strong bullish momentum'}","{'score': 1.0, 'components': {'ma_structure': 1.0, 'price_structure': 0.8, 'adx_multiplier': np.float64(1.0), 'cross_boost': 0.0}, 'interpretation': 'Strong uptrend (strong ADX=42.3)'}","{'score': 0.6600000000000001, 'components': {'obv': 1.0, 'accumulation_distribution': 0.5, 'volume_spike': 0.3, 'confirmation_bonus': 0.0}, 'interpretation': 'Good volume confirmation'}","{'score': np.float64(0.4778398335877751), 'components': {'sharpe': np.float64(0.7619894635299426), 'sortino': np.float64(0.6578328546356504), 'max_drawdown': np.float64(0.17070569440664896), 'volatility': 0.1, 'beta': 0.6}, 'interpretation': 'Moderate risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.15)}, 'interpretation': 'Strong outperformance vs S&P 500'}",-0.22015,0.3538125,0.5739624999999999,0.00028698125,-0.011983449011484681,0.053129537867293575
2020-03-06,0.0,0.0,46.8986666667,-0.22297719906875613,0.851341302105305,0.21,0.0,0.3,neutral,"Mixed technical signals with conflicting momentum and trend indicators. Recent negative 1-month momentum and bearish MACD histogram offset positive longer-term performance, while volume confirmation is absent.",hold,0.2462818909235457,choppy_high_vol,0.482698661823241,"{'score': np.float64(0.19970598227907238), 'components': {'momentum_returns': np.float64(0.4), 'macd_signal': np.float64(-0.3014700886046382), 'rsi_moderation': 0.0}, 'interpretation': 'Neutral momentum'}","{'score': np.float64(0.47030021873996386), 'components': {'ma_structure': 1.0, 'price_structure': 0.0, 'adx_multiplier': np.float64(0.7838336978999398), 'cross_boost': 0.0}, 'interpretation': 'Moderate uptrend (strong ADX=31.4)'}","{'score': 0.42000000000000004, 'components': {'obv': 0.5, 'accumulation_distribution': 0.5, 'volume_spike': 0.1, 'confirmation_bonus': 0.0}, 'interpretation': 'Neutral volume'}","{'score': np.float64(0.5889090686323064), 'components': {'sharpe': np.float64(0.8689477357701287), 'sortino': np.float64(0.7670660409397643), 'max_drawdown': np.float64(0.3992461588532594), 'volatility': 0.1, 'beta': 0.6}, 'interpretation': 'Moderate risk profile'}","{'score': 1.0, 'components': {'relative_performance': np.float64(1.0), 'trend_bonus': 0.0, 'capture_ratio_score': np.float64(0.15)}, 'interpretation': 'Strong outperformance vs S&P 500'}",0.0,-0.22015,0.22015,0.000110075,-0.000110075,-0.22297719906875613
